"recipient","agency","subagency","obligation"
"AARDVARK","Department of Justice","U.S. Marshals Service",1538753.55
"AARNO LABS LLC","Department of Defense","Defense Advanced Research Projects Agency",1636044.65
"AARON KATHERINE FOX","Department of the Treasury","Departmental Offices",10460944.6
"AAROW ELECTRICAL SOLUTIONS LLC","Department of Defense","Department of the Navy",3902578
"AASA INC","Department of Commerce","U.S. Census Bureau",1000000
"AASKI TECHNOLOGY INC","Department of Defense","Department of the Army",192520107.57
"AASKI TECHNOLOGY INC","Department of Homeland Security","Office of the Under Secretary for Science and Technology",1325779.57
"AASKI TECHNOLOGY INC","Department of Homeland Security","Transportation Security Administration",11902918.67
"AATD LLC","Department of Defense","Department of Defense",1870962.48
"AATD LLC","Department of Defense","Department of the Air Force",2722801.51
"AATD LLC","Department of Veterans Affairs","Department of Veterans Affairs",5140908.81
"AATD LLC","Office of Personnel Management","Office of Personnel Management",1603147.6
"AAVID THERMACORE INC","Department of Defense","Department of the Navy",1171475
"AB MARTIN SERVICES INC","Department of Veterans Affairs","Department of Veterans Affairs",2673992.22
"AB SCIEX LLC","Department of Agriculture","Agricultural Research Service",1095217.32
"AB SCIEX LLC","Department of Commerce","National Oceanic and Atmospheric Administration",8374619.79
"AB SCIEX LLC","Department of Defense","Department of the Army",21746861.25
"AB SCIEX LLC","Department of Defense","Department of the Navy",20657760.99
"AB SCIEX LLC","Department of Health and Human Services","Centers for Disease Control and Prevention",18932868.6
"AB SCIEX LLC","Department of Health and Human Services","Food and Drug Administration",4739886.26
"AB SCIEX LLC","Department of Health and Human Services","National Institutes of Health",22048338.43
"AB SCIEX LLC","Department of Homeland Security","Office of the Chief Procurement Officer",2536994.32
"AB SCIEX LLC","Department of Veterans Affairs","Department of Veterans Affairs",123813991.71
"AB STAFFING SOLUTIONS LLC","Department of Defense","Department of the Army",1368504.48
"AB STAFFING SOLUTIONS LLC","Department of Health and Human Services","Indian Health Service",94567511.14
"AB STAFFING SOLUTIONS LLC","Department of Health and Human Services","National Institutes of Health",1067000
"AB STAFFING SOLUTIONS LLC","Department of Veterans Affairs","Department of Veterans Affairs",40530887.99
"ABB INC","Department of Defense","Defense Logistics Agency",2004695.39
"ABB INC","Department of Defense","Department of the Air Force",13003994.05
"ABB INC","Department of Defense","Department of the Navy",7281295.43
"ABB INC","Department of Defense","U.S. Army Corps of Engineers - Civil Program Financing Only",5446846
"ABB INC","Department of Homeland Security","U.S. Coast Guard",2492593.29
"ABBOT LABORATORIES SA","Department of Defense","Department of the Navy",9630987.39
"ABBOTT AMBULANCE INC","Department of Veterans Affairs","Department of Veterans Affairs",61633995.22
"ABBOTT GMBH & CO KG","Department of Defense","Department of the Air Force",3554056.83
"ABBOTT INFORMATICS CORPORATION","Department of Health and Human Services","Centers for Disease Control and Prevention",2399018.03
"ABBOTT INFORMATICS CORPORATION","Department of Justice","Drug Enforcement Administration",16396051.1
"ABBOTT LABORATORIES","Department of Defense","Defense Health Agency",2396627.73
"ABBOTT LABORATORIES","Department of Defense","Defense Logistics Agency",2067128819.63
"ABBOTT LABORATORIES","Department of Veterans Affairs","Department of Veterans Affairs",130123760.17
"ABCOT AMNOR RESOURCES LLC","Department of Homeland Security","Office of the Chief Procurement Officer",1437980.11
"ABDULHAI GARDEZI CONSTRUCTION FIRM","Agency for International Development","Agency for International Development",8383978.77
"ABDULHAI GARDEZI CONSTRUCTION FIRM","Department of Defense","Department of the Army",4959813.88
"ABIDE INTERNATIONAL INC","Department of Defense","Department of the Air Force",1448247.94
"ABIDE INTERNATIONAL INC","Department of Defense","U.S. Army Corps of Engineers - Civil Program Financing Only",8612756.09
"ABIDE INTERNATIONAL INC","Department of Health and Human Services","Food and Drug Administration",1380963
"ABIDE INTERNATIONAL INC","Department of Homeland Security","U.S. Customs and Border Protection",1017514
"ABIDE INTERNATIONAL INC","Department of the Interior","National Park Service",3065839
"ABIDE INTERNATIONAL INC","General Services Administration","General Services Administration",6472205
"ABIDE INTERNATIONAL INC","General Services Administration","Public Buildings Service",10256019.01
"ABILITY NETWORK INC","Department of Health and Human Services","Indian Health Service",1696359.53
"ABILITYWORKS INC","Armed Forces Retirement Home","Armed Forces Retirement Home",3312926.16
"ABIOMED INC","Department of Veterans Affairs","Department of Veterans Affairs",5961509.06
"ABM FACILITY SUPPORT SERVICES LLC","General Services Administration","Public Buildings Service",1444393.06
"ABM FEDERAL SALES INC","Department of Defense","Department of the Navy",1085394
"ABM FEDERAL SALES INC","Department of Homeland Security","Office of the Chief Procurement Officer",2613717.37
"ABM FEDERAL SALES INC","Department of the Treasury","Internal Revenue Service",5824582.5
"ABM FEDERAL SALES INC","Office of Personnel Management","Office of Personnel Management",1952180.69
"ABM FEDERAL SALES INCORPORATED","Department of Labor","Office of Job Corps",1711325
"ABM GOVERNMENT SERVICES LLC","Department of Defense","Department of the Air Force",3318693.01
"ABM GOVERNMENT SERVICES LLC","Department of Defense","Department of the Army",154788519.25
"ABMGSALCA II JV LLC","Department of Defense","Department of the Navy",11752025.22
"ABN TECHNOLOGIES LLC","Department of Defense","Department of the Army",2926851.01
"ABO GROUP INC THE","General Services Administration","Public Buildings Service",1095455.95
"ABRAMS GROUP CONSTRUCTION LLC","Department of Veterans Affairs","Department of Veterans Affairs",35161819.85
"ABRAXAS ENERGY CONSULTING LLC","Department of Health and Human Services","Centers for Disease Control and Prevention",4832632
"ABS ALPHA GROUP GMBH","Department of Defense","Department of the Army",1004980.37
"ABSG CONSULTING INC","Department of Homeland Security","National Protection and Programs Directorate",57295604.96
"ABSG CONSULTING INC","Department of Transportation","Pipeline and Hazardous Materials Safety Administration",1301419.95
"ABSHER CONSTRUCTION CO","Department of Defense","Department of the Navy",56603121.75
"ABSOLUTE AIRCRAFT SUPPLY INC","Department of Defense","Defense Logistics Agency",1505628.56
"ABSOLUTE BUSINESS SOLUTIONS INC","Department of Defense","Department of the Army",29216668.21
"ABSOLUTE MARITIME TRACKING SERVICES INC","Department of Homeland Security","U.S. Coast Guard",1059000
"ABSOLUTE RESOURCE ASSOCIATES LLC","Department of Defense","U.S. Army Corps of Engineers - Civil Program Financing Only",1442883.28
"ABSOLUTE STAFFERS LLC","Department of Defense","Department of the Air Force",95581768.18
"ABSOLUTE STAFFERS LLC","Department of Defense","Department of the Army",2203524.24
"ABSTRACT ELECTRONICS INC","Department of Defense","Defense Logistics Agency",1102924.81
"ABT ASSOCIATES INC","Agency for International Development","Agency for International Development",4692696370.9
"ABT ASSOCIATES INC","Consumer Financial Protection Bureau","Consumer Financial Protection Bureau",1149080.39
"ABT ASSOCIATES INC","Department of Agriculture","Food and Nutrition Service",13464226.18
"ABT ASSOCIATES INC","Department of Commerce","National Oceanic and Atmospheric Administration",76359541.05
"ABT ASSOCIATES INC","Department of Commerce","U.S. Census Bureau",1727881.31
"ABT ASSOCIATES INC","Department of Defense","Department of the Army",1587096.59
"ABT ASSOCIATES INC","Department of Defense","Department of the Navy",2239153
"ABT ASSOCIATES INC","Department of Defense","U.S. Army Corps of Engineers - Civil Program Financing Only",2142126.87
"ABT ASSOCIATES INC","Department of Education","Department of Education",35062913.05
"ABT ASSOCIATES INC","Department of Health and Human Services","Agency for Healthcare Research and Quality",192195766.67
"ABT ASSOCIATES INC","Department of Health and Human Services","Centers for Disease Control and Prevention",70102858.83
"ABT ASSOCIATES INC","Department of Health and Human Services","Centers for Medicare and Medicaid Services",510978027.22
"ABT ASSOCIATES INC","Department of Health and Human Services","Health Resources and Services Administration",7211678.17
"ABT ASSOCIATES INC","Department of Health and Human Services","Office of the Assistant Secretary for Administration",97699596.49
"ABT ASSOCIATES INC","Department of Health and Human Services","Substance Abuse and Mental Health Services Administration",41165476.99
"ABT ASSOCIATES INC","Department of Housing and Urban Development","Department of Housing and Urban Development",11134705.89
"ABT ASSOCIATES INC","Department of Justice","Office of Justice Programs",1051977
"ABT ASSOCIATES INC","Department of Labor","Employment and Training Administration",22192097.71
"ABT ASSOCIATES INC","Department of Labor","Immediate Office of the Secretary",1111075
"ABT ASSOCIATES INC","Department of Labor","Office of the Assistant Secretary for Policy",4485971.49
"ABT ASSOCIATES INC","Department of Transportation","Pipeline and Hazardous Materials Safety Administration",1111019.77
"ABT ASSOCIATES INC","Department of Veterans Affairs","Department of Veterans Affairs",3215871.65
"ABT ASSOCIATES INC","Environmental Protection Agency","Environmental Protection Agency",126924058.98
"ABT ASSOCIATES INC","Executive Office of the President","Executive Office of the President",4114764
"ABT ASSOCIATES INC","Millennium Challenge Corporation","Millennium Challenge Corporation",20305650.14
"ABT ASSOCIATES INC","National Science Foundation","National Science Foundation",10016681.88
"ABU DHABI SUPPLIES & COMMERCI AL SERVICES ESTABLISHMENT","Department of Defense","Department of the Air Force",2757837.46
"ABV ROCK GROUP CO LTD","Department of Defense","Department of the Army",66701000
"ABVIRO LLC","Department of Health and Human Services","National Institutes of Health",14506004
"ABZ INC","Department of Justice","Offices, Boards and Divisions",2898643
"ABZYME THERAPEUTICS LLC","Department of Defense","Department of the Army",1953560462.5
"AC BLOUNT CONCRETE SERVICE INC","Department of Defense","Department of the Navy",1531931.72
"AC FIRST LLC","Department of Defense","Department of the Army",41196039.42
"AC INVESTMENT CO LTD","Department of Defense","Department of the Navy",2106012
"AC LOPEZ CONSTRUCTION INC","Department of Defense","Department of the Army",3155367.35
"ACADEMI TRAINING CENTER INC","Department of Defense","Department of the Navy",13204215.33
"ACADEMI TRAINING CENTER INC","Department of Homeland Security","U.S. Coast Guard",1745517.27
"ACADEMI TRAINING CENTER INC","Department of State","Department of State",1362956678.01
"ACADEMI TRAINING CENTER LLC","Department of Defense","Department of the Air Force",23994623.88
"ACADEMI TRAINING CENTER LLC","Department of Defense","Department of the Army",174464255.79
"ACADEMY FOR EDUCATIONAL DEVELOPMENT","Agency for International Development","Agency for International Development",10583230.69
"ACADEMY FOR EDUCATIONAL DEVELOPMENT","Department of Health and Human Services","Centers for Disease Control and Prevention",5917408.29
"ACADEMY MEDICAL LLC","Department of Veterans Affairs","Department of Veterans Affairs",7023892.38
"ACADEMY OF NATURAL SCIENCES OF PHILADELPHIA THE","Department of the Interior","U.S. Geological Survey",11838809.05
"ACADEMYHEALTH","Department of Health and Human Services","National Institutes of Health",1075542.76
"ACADIA PROTECTIVE SERVICES LLC","Department of Energy","Department of Energy",4736453.86
"ACADIAN AMBULANCE SERVICE INC","Department of Veterans Affairs","Department of Veterans Affairs",1336476.24
"ACC CONSTRUCTION CO INC","Department of Defense","Department of the Army",141829668.25
"ACC CONSTRUCTION-MCKNIGHT JOINT VENTURE","Department of State","Department of State",93780395
"ACCEL CONSTRUCTION SERVICES GROUP LLC","Department of Defense","Department of the Navy",2189998
"ACCEL CONSTRUCTION SERVICES GROUP LLC","General Services Administration","Public Buildings Service",2457926.25
"ACCEL CORPORATION","Department of Commerce","U.S. Census Bureau",12362180.73
"ACCEL CORPORATION","Department of Housing and Urban Development","Department of Housing and Urban Development",8150169.98
"ACCEL PACIFIC JV","Department of Defense","Department of the Air Force",1988075.88
"ACCEL PACIFIC JV","Department of Defense","Department of the Army",24492904.72
"ACCELERA SOLUTIONS INC","Department of Agriculture","National Agricultural Statistics Service",1905758.07
